date,Stock,Open,High,Low,Close
1-10-2019,FB,179.149994,179.839996,174.880005,175.809998
2-10-2019,FB,174.839996,176.529999,173.089996,174.600006
3-10-2019,FB,175.570007,179.839996,173.630005,179.380005
4-10-2019,FB,175.570007,179.839996,173.630005,179.380005
7-10-2019,FB,180.0,181.179993,178.089996,179.679993
8-10-2019,FB,178.259995,180.369995,177.720001,177.75
9-10-2019,FB,179.160004,180.720001,177.940002,179.850006
10-10-2019,FB,180.320007,181.610001,179.169998,180.029999
11-10-2019,FB,182.149994,186.490005,182.139999,184.190002
14-10-2019,FB,184.199997,184.619995,182.570007,183.279999
15-10-2019,FB,183.800003,190.380005,183.660004,183.279999
16-10-2019,FB,188.320007,189.699997,186.899994,189.550003
17-10-2019,FB,190.300003,190.839996,188.770004,190.389999
18-10-2019,FB,190.229996,191.490005,183.919998,185.850006
21-10-2019,FB,187.039993,189.910004,186.75,189.759995
22-10-2019,FB,190.0,190.649994,181.5,182.339996
23-10-2019,FB,182.009995,186.380005,182.0,186.149994
24-10-2019,FB,184.619995,186.729996,182.800003,186.149994
25-10-2019,FB,185.830002,189.0,185.089996,187.889999
28-10-2019,FB,187.199997,189.529999,185.080002,189.399994
29-10-2019,FB,191.690002,192.529999,188.470001,189.309998
30-10-2019,FB,189.559998,190.449997,185.979996,188.25
31-10-2019,FB,196.699997,198.089996,188.25,191.649994
1-11-2019,FB,192.850006,194.110001,189.910004,193.619995
4-11-2019,FB,194.550003,197.369995,193.809998,194.720001
5-11-2019,FB,195.369995,195.75,193.600006,194.320007
6-11-2019,FB,194.029999,194.369995,191.350006,191.550003
7-11-2019,FB,191.910004,193.440002,189.470001,190.419998
8-11-2019,FB,190.0,192.339996,189.699997,190.839996
11-11-2019,FB,189.929993,190.080002,188.539993,189.610001
12-11-2019,FB,190.0,195.059998,189.740005,194.470001
13-11-2019,FB,194.699997,195.699997,192.740005,194.470001
14-11-2019,FB,192.929993,194.029999,191.449997,193.149994
15-11-2019,FB,194.259995,195.300003,193.380005,195.100006
18-11-2019,FB,194.559998,198.630005,193.050003,195.100006
19-11-2019,FB,197.399994,200.0,196.860001,199.320007
20-11-2019,FB,198.580002,199.589996,195.429993,197.509995
21-11-2019,FB,197.419998,199.089996,196.860001,197.929993
22-11-2019,FB,198.380005,199.300003,197.619995,198.820007
25-11-2019,FB,199.520004,200.970001,199.25,199.789993
26-11-2019,FB,200.0,200.149994,198.039993,198.970001
27-11-2019,FB,199.899994,203.139999,199.419998,202.0
29-11-2019,FB,201.600006,203.800003,201.210007,201.639999
2-12-2019,FB,202.130005,202.179993,198.050003,199.699997
3-12-2019,FB,197.600006,198.929993,195.080002,198.820007
4-12-2019,FB,200.0,200.029999,198.050003,198.710007
5-12-2019,FB,199.860001,201.289993,198.210007,198.710007
6-12-2019,FB,200.5,201.570007,200.059998,201.050003
9-12-2019,FB,200.649994,203.139999,200.210007,201.339996
10-12-2019,FB,201.660004,202.050003,200.149994,200.869995
11-12-2019,FB,200.279999,202.630005,200.279999,202.259995
12-12-2019,FB,202.350006,203.660004,194.100006,196.75
13-12-2019,FB,196.399994,196.800003,193.169998,194.110001
16-12-2019,FB,195.270004,199.119995,194.809998,197.919998
17-12-2019,FB,198.839996,199.0,196.130005,198.389999
18-12-2019,FB,200.089996,204.300003,200.089996,202.5
19-12-2019,FB,202.779999,206.300003,202.509995,206.059998
20-12-2019,FB,207.479996,207.710007,203.429993,206.300003
23-12-2019,FB,206.699997,208.589996,205.679993,206.179993
24-12-2019,FB,206.300003,206.789993,205.0,205.119995
26-12-2019,FB,205.570007,207.820007,205.309998,207.789993
27-12-2019,FB,208.669998,208.929993,206.589996,208.100006
30-12-2019,FB,207.860001,207.899994,203.899994,204.410004
31-12-2019,FB,204.0,205.559998,203.600006,205.25
2-1-2020,FB,204.0,205.559998,203.600006,205.25
3-1-2020,FB,207.210007,210.399994,206.949997,208.669998
6-1-2020,FB,206.699997,212.779999,206.520004,212.600006
7-1-2020,FB,212.820007,214.580002,211.75,213.059998
8-1-2020,FB,213.0,216.240005,212.610001,215.220001
9-1-2020,FB,217.539993,218.380005,216.279999,218.300003
10-1-2020,FB,219.199997,219.880005,217.419998,218.059998
13-1-2020,FB,219.600006,221.970001,219.210007,221.910004
14-1-2020,FB,221.610001,222.380005,218.630005,219.059998
15-1-2020,FB,220.610001,221.679993,220.139999,221.149994
16-1-2020,FB,222.570007,222.630005,220.389999,221.770004
17-1-2020,FB,222.029999,222.289993,220.529999,222.139999
21-1-2020,FB,222.160004,222.369995,219.119995,221.440002
22-1-2020,FB,222.309998,222.75,221.279999,221.320007
23-1-2020,FB,220.75,221.490005,219.270004,219.759995
24-1-2020,FB,220.800003,221.779999,216.110001,217.940002
27-1-2020,FB,213.100006,216.059998,212.5,214.869995
28-1-2020,FB,216.139999,218.740005,213.520004,217.789993
29-1-2020,FB,221.440002,224.199997,218.449997,223.229996
30-1-2020,FB,206.529999,211.429993,204.75,209.529999
31-1-2020,FB,208.429993,208.690002,201.059998,201.910004
3-2-2020,FB,203.440002,205.139999,202.5,204.190002
4-2-2020,FB,206.619995,210.600006,205.199997,209.830002
5-2-2020,FB,212.509995,212.729996,208.710007,210.110001
6-2-2020,FB,210.470001,211.190002,209.339996,210.850006
7-2-2020,FB,210.300003,212.820007,209.929993,212.330002
10-2-2020,FB,211.520004,213.800003,210.660004,213.059998
11-2-2020,FB,210.190002,210.860001,206.509995,207.190002
12-2-2020,FB,207.850006,211.220001,207.399994,210.759995
13-2-2020,FB,209.520004,214.330002,209.179993,213.139999
14-2-2020,FB,214.0,214.929993,212.649994,214.179993
18-2-2020,FB,214.0,214.929993,212.649994,214.179993
19-2-2020,FB,217.990005,218.320007,216.110001,217.490005
20-2-2020,FB,217.990005,218.320007,216.110001,217.490005
21-2-2020,FB,213.479996,214.240005,208.830002,210.179993
24-2-2020,FB,201.800003,203.649994,198.169998,200.720001
25-2-2020,FB,202.25,203.5,195.949997,196.770004
26-2-2020,FB,197.190002,201.210007,195.490005,197.199997
27-2-2020,FB,191.820007,195.880005,189.5,189.75
28-2-2020,FB,182.699997,192.740005,181.820007,192.470001
2-3-2020,FB,194.029999,196.570007,188.850006,196.440002
3-3-2020,FB,196.220001,197.240005,183.970001,185.889999
4-3-2020,FB,189.169998,191.830002,186.389999,191.759995
5-3-2020,FB,186.779999,188.990005,183.889999,185.169998
6-3-2020,FB,178.330002,183.779999,176.259995,181.089996
9-3-2020,FB,169.600006,175.0,165.190002,169.5
10-3-2020,FB,169.600006,175.0,165.190002,169.5
11-3-2020,FB,174.009995,175.880005,167.660004,170.240005
12-3-2020,FB,159.539993,166.600006,154.339996,154.470001
13-3-2020,FB,163.529999,170.789993,157.600006,170.279999
16-3-2020,FB,152.320007,159.130005,143.100006,146.009995
17-3-2020,FB,150.740005,153.940002,140.0,149.419998
18-3-2020,FB,139.75,148.179993,137.100006,146.960007
19-3-2020,FB,146.619995,159.929993,144.800003,153.130005
20-3-2020,FB,146.619995,159.929993,144.800003,153.130005
23-3-2020,FB,149.660004,152.309998,142.25,148.100006
24-3-2020,FB,155.210007,161.309998,152.570007,160.979996
25-3-2020,FB,158.919998,162.990005,153.059998,156.210007
26-3-2020,FB,158.25,164.0,157.020004,163.339996
27-3-2020,FB,158.199997,160.089996,154.75,156.789993
30-3-2020,FB,159.179993,166.75,158.059998,165.949997
31-3-2020,FB,165.479996,170.929993,164.199997,166.800003
1-4-2020,FB,165.479996,170.929993,164.199997,166.800003
2-4-2020,FB,159.100006,161.350006,155.919998,158.190002
3-4-2020,FB,157.149994,157.910004,150.830002,154.179993
6-4-2020,FB,160.149994,166.199997,158.509995,165.550003
7-4-2020,FB,171.789993,173.389999,166.009995,168.830002
8-4-2020,FB,171.25,175.0,167.740005,174.279999
9-4-2020,FB,175.899994,177.080002,171.570007,175.190002
13-4-2020,FB,173.669998,175.0,169.449997,174.789993
14-4-2020,FB,178.979996,181.229996,176.619995,178.169998
15-4-2020,FB,178.979996,181.229996,176.619995,178.169998
16-4-2020,FB,177.949997,178.050003,172.509995,176.25
17-4-2020,FB,179.199997,180.279999,176.660004,179.240005
20-4-2020,FB,177.410004,180.5,176.770004,178.240005
21-4-2020,FB,175.25,175.380005,168.339996,170.800003
22-4-2020,FB,178.449997,184.779999,178.139999,182.279999
23-4-2020,FB,184.080002,187.050003,183.149994,185.130005
24-4-2020,FB,184.080002,187.050003,183.149994,185.130005
27-4-2020,FB,192.660004,193.75,187.410004,187.5
28-4-2020,FB,188.660004,189.199997,182.559998,182.910004
29-4-2020,FB,190.929993,196.910004,190.0,194.190002
30-4-2020,FB,206.919998,209.690002,201.570007,204.710007
1-5-2020,FB,201.600006,207.279999,199.050003,202.270004
4-5-2020,FB,200.199997,205.910004,198.759995,205.259995
5-5-2020,FB,207.020004,210.380005,206.5,207.070007
6-5-2020,FB,208.119995,211.600006,206.660004,208.470001
7-5-2020,FB,211.160004,211.600006,209.039993,211.259995
8-5-2020,FB,212.240005,213.210007,210.850006,212.350006
11-5-2020,FB,210.889999,215.0,210.369995,213.179993
12-5-2020,FB,213.289993,215.279999,210.0,213.179993
13-5-2020,FB,209.429993,210.779999,202.110001,205.100006
14-5-2020,FB,202.559998,206.929993,200.690002,206.809998
15-5-2020,FB,205.270004,211.339996,204.119995,210.880005
18-5-2020,FB,212.149994,214.639999,210.940002,213.190002
19-5-2020,FB,213.270004,220.490005,212.830002,216.880005
20-5-2020,FB,223.5,231.339996,223.190002,229.970001
21-5-2020,FB,234.720001,237.199997,231.199997,231.389999
22-5-2020,FB,231.509995,235.990005,228.740005,234.910004
26-5-2020,FB,239.770004,240.899994,231.669998,232.199997
27-5-2020,FB,229.070007,230.559998,221.130005,229.139999
28-5-2020,FB,224.300003,231.630005,224.0,225.460007
29-5-2020,FB,225.199997,227.490005,222.880005,225.089996
1-6-2020,FB,224.589996,232.440002,223.5,231.910004
2-6-2020,FB,230.940002,233.0,226.559998,232.720001
3-6-2020,FB,230.940002,233.0,226.559998,232.720001
4-6-2020,FB,229.559998,231.630005,224.610001,226.289993
5-6-2020,FB,226.710007,231.350006,225.309998,230.770004
8-6-2020,FB,229.029999,231.550003,227.410004,231.399994
9-6-2020,FB,231.520004,239.770004,230.410004,238.669998
10-6-2020,FB,240.960007,241.210007,235.279999,236.729996
11-6-2020,FB,229.940002,232.889999,223.550003,224.429993
12-6-2020,FB,229.899994,231.660004,224.5,228.580002
15-6-2020,FB,225.089996,233.770004,224.800003,232.5
16-6-2020,FB,237.139999,238.460007,233.0,235.649994
17-6-2020,FB,235.0,237.589996,231.729996,235.529999
18-6-2020,FB,234.990005,236.139999,232.149994,235.940002
19-6-2020,FB,237.789993,240.830002,235.550003,238.789993
22-6-2020,FB,238.559998,240.699997,236.910004,239.220001
23-6-2020,FB,241.279999,245.190002,239.860001,242.240005
24-6-2020,FB,241.199997,243.220001,232.679993,234.020004
25-6-2020,FB,241.199997,243.220001,232.679993,234.020004
26-6-2020,FB,232.639999,233.089996,215.399994,234.020004
29-6-2020,FB,209.75,220.75,207.110001,220.639999
30-6-2020,FB,220.589996,227.5,218.470001,227.070007
1-7-2020,FB,228.5,239.0,227.559998,237.550003
2-7-2020,FB,239.0,240.0,232.610001,233.419998
6-7-2020,FB,233.759995,240.399994,232.270004,240.279999
7-7-2020,FB,239.410004,247.649994,238.820007,240.860001
8-7-2020,FB,238.110001,246.990005,236.589996,243.580002
9-7-2020,FB,245.0,246.529999,239.240005,244.5
10-7-2020,FB,243.690002,245.490005,239.320007,245.070007
13-7-2020,FB,247.009995,250.149994,238.419998,239.0
14-7-2020,FB,236.759995,240.330002,232.029999,239.729996
15-7-2020,FB,241.550003,244.820007,238.050003,240.279999
16-7-2020,FB,238.0,241.759995,236.330002,240.929993
17-7-2020,FB,241.0,244.160004,237.860001,242.029999
20-7-2020,FB,240.059998,246.050003,235.639999,245.419998
21-7-2020,FB,246.220001,246.910004,240.080002,241.75
22-7-2020,FB,240.259995,241.899994,238.119995,239.869995
23-7-2020,FB,239.630005,242.419998,231.75,232.600006
24-7-2020,FB,230.190002,233.490005,226.899994,230.710007
27-7-2020,FB,231.460007,234.949997,230.830002,233.5
28-7-2020,FB,234.630005,234.960007,229.830002,230.119995
29-7-2020,FB,231.139999,233.699997,230.309998,233.289993
30-7-2020,FB,230.220001,234.889999,229.0,234.5
31-7-2020,FB,255.820007,255.850006,249.0,234.5
3-8-2020,FB,255.820007,255.850006,249.0,234.5
4-8-2020,FB,251.559998,252.800003,247.429993,249.830002
5-8-2020,FB,250.190002,252.270004,247.770004,249.119995
6-8-2020,FB,249.039993,266.600006,248.669998,265.279999
7-8-2020,FB,264.079987,278.890015,263.429993,268.440002
10-8-2020,FB,268.040009,273.859985,259.690002,263.0
11-8-2020,FB,260.190002,265.920013,255.130005,256.130005
12-8-2020,FB,258.970001,263.899994,258.109985,259.890015
13-8-2020,FB,261.549988,265.160004,259.570007,261.299988
14-8-2020,FB,262.309998,262.649994,258.679993,261.23999
17-8-2020,FB,262.5,264.100006,259.399994,261.160004
18-8-2020,FB,260.950012,265.149994,259.26001,262.339996
19-8-2020,FB,261.390015,267.910004,261.350006,262.589996
20-8-2020,FB,261.5,269.630005,261.459991,269.01001
21-8-2020,FB,268.690002,270.48999,266.420013,267.01001
24-8-2020,FB,271.070007,277.25,268.769989,271.390015
25-8-2020,FB,272.410004,283.089996,270.26001,280.820007
26-8-2020,FB,284.0,304.670013,284.0,303.910004
27-8-2020,FB,300.160004,301.230011,292.019989,293.220001
28-8-2020,FB,295.0,297.230011,290.980011,293.220001
31-8-2020,FB,293.950012,296.880005,291.549988,293.200012
1-9-2020,FB,294.709991,301.48999,292.709991,295.440002
2-9-2020,FB,298.880005,303.600006,293.049988,302.5
3-9-2020,FB,295.98999,297.600006,283.630005,291.119995
4-9-2020,FB,287.25,289.0,271.140015,282.730011
8-9-2020,FB,271.279999,279.299988,269.420013,271.160004
9-9-2020,FB,275.769989,278.480011,271.350006,273.720001
10-9-2020,FB,275.51001,279.160004,267.029999,268.089996
11-9-2020,FB,270.059998,271.390015,262.640015,266.609985
14-9-2020,FB,270.950012,276.640015,265.700012,266.149994
15-9-2020,FB,270.670013,274.519989,269.299988,272.420013
16-9-2020,FB,267.290009,272.440002,261.790009,263.519989
17-9-2020,FB,258.279999,261.5,250.190002,254.820007
18-9-2020,FB,258.399994,259.200012,250.050003,252.529999
21-9-2020,FB,247.539993,249.949997,244.130005,248.149994
22-9-2020,FB,253.309998,255.320007,248.220001,254.75
23-9-2020,FB,255.259995,257.98999,248.149994,249.020004
24-9-2020,FB,255.259995,257.98999,248.149994,249.020004
25-9-2020,FB,249.399994,255.75,246.610001,254.820007
28-9-2020,FB,259.399994,259.600006,254.820007,256.820007
29-9-2020,FB,257.809998,263.329987,256.899994,261.790009
30-9-2020,FB,261.980011,266.079987,260.100006,261.899994
1-10-2020,FB,265.350006,268.329987,264.799988,266.630005
2-10-2020,FB,261.209991,265.149994,259.179993,259.940002
