date,Stock,Open,High,Low,Close
02-December-2020,NFLX,501.619995,506.799988,493.5,503.380005
03-December-2020,NFLX,502.98999,508.769989,496.040009,497.519989
04-December-2020,NFLX,497.5,504.5,493.640015,498.309998
07-December-2020,NFLX,500.01001,517.76001,497.769989,515.780029
08-December-2020,NFLX,517.900024,521.48999,505.549988,512.659973
09-December-2020,NFLX,517.900024,521.48999,505.549988,512.659973
10-December-2020,NFLX,494.559998,503.769989,492.910004,501.089996
11-December-2020,NFLX,495.0,503.339996,494.850006,503.220001
14-December-2020,NFLX,505.440002,524.159973,501.179993,522.419983
15-December-2020,NFLX,518.5,524.700012,513.559998,519.780029
16-December-2020,NFLX,520.109985,527.380005,517.690002,524.830017
17-December-2020,NFLX,529.0,535.48999,526.440002,532.900024
18-December-2020,NFLX,533.200012,536.369995,526.02002,534.450012
21-December-2020,NFLX,530.049988,532.619995,521.150024,528.909973
22-December-2020,NFLX,527.690002,530.400024,520.5,527.330017
23-December-2020,NFLX,524.76001,526.320007,514.200012,514.47998
24-December-2020,NFLX,515.119995,519.349976,512.210022,513.969971
28-December-2020,NFLX,516.429993,523.659973,507.130005,519.119995
29-December-2020,NFLX,519.900024,536.549988,515.47998,530.869995
30-December-2020,NFLX,530.130005,533.26001,523.690002,524.590027
31-December-2020,NFLX,525.530029,545.5,523.150024,540.72998
04-January-2021,NFLX,539.0,540.799988,515.090027,522.859985
05-January-2021,NFLX,521.549988,526.780029,515.890015,520.799988
06-January-2021,NFLX,511.970001,513.099976,499.5,500.48999
07-January-2021,NFLX,508.279999,516.440002,506.420013,508.890015
08-January-2021,NFLX,511.309998,513.23999,504.51001,510.399994
11-January-2021,NFLX,507.839996,510.730011,497.950012,499.100006
12-January-2021,NFLX,500.0,501.089996,485.670013,494.25
13-January-2021,NFLX,495.5,512.349976,493.01001,507.790009
14-January-2021,NFLX,507.350006,514.5,499.579987,500.859985
15-January-2021,NFLX,500.0,506.320007,495.100006,497.980011
19-January-2021,NFLX,501.0,509.25,493.540009,501.769989
20-January-2021,NFLX,565.419983,593.289978,556.859985,586.340027
21-January-2021,NFLX,582.450012,588.75,570.400024,579.840027
22-January-2021,NFLX,582.099976,583.98999,564.349976,565.169983
25-January-2021,NFLX,567.0,569.75,548.650024,556.780029
26-January-2021,NFLX,554.72998,567.98999,554.059998,561.929993
27-January-2021,NFLX,550.710022,556.419983,515.72998,523.280029
28-January-2021,NFLX,535.880005,553.150024,530.73999,538.599976
29-January-2021,NFLX,538.0,541.0,530.179993,532.390015
—-—-—,—,538.0,541.0,530.179993,532.390015
01-February-2021,NFLX,536.789978,545.059998,531.72998,539.039978
02-February-2021,NFLX,536.789978,545.059998,531.72998,539.039978
03-February-2021,NFLX,550.169983,550.47998,538.23999,539.450012
04-February-2021,NFLX,550.169983,550.47998,538.23999,539.450012
05-February-2021,NFLX,552.26001,554.440002,545.47998,550.789978
08-February-2021,NFLX,555.0,555.0,543.700012,547.919983
09-February-2021,NFLX,546.0,566.0,543.0,559.070007
10-February-2021,NFLX,562.5,566.650024,553.460022,563.590027
11-February-2021,NFLX,564.440002,565.929993,554.219971,557.590027
12-February-2021,NFLX,564.440002,565.929993,554.219971,557.590027
16-February-2021,NFLX,557.289978,563.630005,552.72998,557.280029
17-February-2021,NFLX,557.289978,563.630005,552.72998,557.280029
18-February-2021,NFLX,549.0,550.0,538.22998,548.219971
19-February-2021,NFLX,548.0,548.98999,538.809998,540.219971
22-February-2021,NFLX,534.98999,541.789978,530.789978,533.780029
23-February-2021,NFLX,525.0,548.539978,518.280029,546.150024
24-February-2021,NFLX,539.799988,556.849976,539.070007,553.409973
25-February-2021,NFLX,550.27002,556.47998,535.75,546.700012
26-February-2021,NFLX,550.27002,556.47998,535.75,546.700012
—-—-—,—,550.27002,556.47998,535.75,546.700012
01-March-2021,NFLX,545.570007,552.140015,542.0,550.640015
02-March-2021,NFLX,553.340027,556.98999,546.02002,547.820007
03-March-2021,NFLX,545.929993,548.01001,517.809998,520.700012
04-March-2021,NFLX,521.5,531.5,507.679993,511.290009
05-March-2021,NFLX,511.980011,517.76001,498.790009,516.390015
08-March-2021,NFLX,514.460022,518.840027,492.850006,493.329987
09-March-2021,NFLX,507.309998,513.109985,503.820007,506.440002
10-March-2021,NFLX,513.5,518.969971,504.25,504.540009
11-March-2021,NFLX,512.200012,530.23999,510.709991,523.059998
12-March-2021,NFLX,512.5,526.51001,506.589996,518.02002
15-March-2021,NFLX,516.320007,520.72998,508.029999,520.25
16-March-2021,NFLX,524.469971,533.419983,523.210022,524.030029
17-March-2021,NFLX,522.0,528.369995,514.299988,524.440002
18-March-2021,NFLX,516.400024,517.900024,503.850006,504.790009
19-March-2021,NFLX,504.959991,513.190002,501.630005,512.179993
22-March-2021,NFLX,509.130005,529.309998,509.130005,523.109985
23-March-2021,NFLX,529.869995,543.119995,529.400024,535.090027
24-March-2021,NFLX,533.780029,534.419983,520.0,520.809998
25-March-2021,NFLX,516.98999,518.530029,497.0,502.859985
26-March-2021,NFLX,502.820007,508.720001,496.679993,508.049988
29-March-2021,NFLX,505.660004,518.0,504.399994,513.950012
30-March-2021,NFLX,510.51001,514.409973,506.910004,513.390015
31-March-2021,NFLX,510.51001,514.409973,506.910004,513.390015
—-—-—,—,510.51001,514.409973,506.910004,513.390015
